0,5.00E-09
0.0000004,1.00E-04
0.001,5.00E-09
0.0010004,1.00E-04
0.002,5.00E-09
0.0020004,1.00E-04
0.003,5.00E-09
0.0030004,1.00E-04
0.004,5.00E-09
0.0040004,1.00E-04
0.005,5.00E-09
0.0050004,1.00E-04
0.006,5.00E-09
0.0060004,1.00E-04
0.007,5.00E-09
0.0070004,1.00E-04
0.008,5.00E-09
0.0080004,1.00E-04
0.009,5.00E-09
0.0090004,1.00E-04
0.01,5.00E-09
0.0100004,1.00E-04
0.011,5.00E-09
0.0110004,1.00E-04
0.012,5.00E-09
0.0120004,1.00E-04
0.013,5.00E-09
0.0130004,1.00E-04
0.014,5.00E-09
0.0140004,1.00E-04
0.015,5.00E-09
0.0150004,1.00E-04
0.016,5.00E-09
0.0160004,1.00E-04
0.017,5.00E-09
0.0170004,1.00E-04
0.018,5.00E-09
0.0180004,1.00E-04
0.019,5.00E-09
0.0190004,1.00E-04
0.02,5.00E-09
0.0200004,1.00E-04